SPA Эко,5000,4000,3000
4+32,Массаж с проработкой «Восстанавливающий»+SPA - уход «Принцесса сиама»,150,1,8800
6+11,"Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Спорт-oil»",120,1,8000
4+20+2,Массаж с проработкой «Восстанавливающий»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9600
20+28,Программы для лица и головы «Лицо и голова»+Массаж в 4 руки «Тай Ойл в 4 руки»,90,1,9200
SPA Лукс,12000,9600,7200
19+22+1,Программы для лица и головы «Голова»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,7200
18+6+3,"Программы для лица и головы «Лицо»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",180,1,9600
32+21,SPA - уход «Принцесса сиама»+Программы для лица и головы «Лицо и голова»,150,1,9200
18+25,Программы для лица и головы «Лицо»+Массаж в 4 руки «Тай в 4 руки»,90,1,8400
19+23+3,Программы для лица и головы «Голова»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9600
34+22,SPA - уход «Мужской комплимент»+Программы для рук и ног «Руки»,150,1,8400
1+19+5,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для лица и головы «Голова»+Массаж с проработкой «Восстанавливающий»,180,1,9600
4+33,Массаж с проработкой «Восстанавливающий»+SPA - уход «Королевская спа программа»,180,1,9600
18+22+3,Программы для лица и головы «Лицо»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9600
